age	sex	edu	s4	s5	c1	c2_1	c2_2	c3	c4	c5	c5_O_T_H	c6_1	c6_2	c6_3	c6_4	c6_5	c6_6	m1_1	m1_2	m1_3	m1_4	m1_5	m1_6	m1_7	m1_8	s6	agecat	educat
48	1	4	6	5	2	2	2	1	1	666	3 mìsíce	1	1	1	1	1	1	8	7	8	8	4	4	3	6	666	3	4
58	2	2	14	1	2	3	3	1	2	2	sys_empty	1	1	1	2	2	1	8	8	8	10	8	9	5	8	3	3	1
38	1	4	5	5	1	2	2	1	2	666	1-3 mìsíce	1	1	1	1	1	1	8	6	7	8	5	7	6	6	666	2	4
20	1	3	8	2	2	1	1	1	1	2	sys_empty	1	2	1	1	2	1	10	8	8	10	3	3	4	2	1	1	3
15	1	1	13	1	2	3	3	2	1	2	sys_empty	1	1	1	2	1	1	8	8	8	9	4	5	4	5	1	1	1
39	2	4	11	5	2	2	2	1	2	666	mìsíc	1	2	1	1	1	1	10	9	9	10	4	5	5	5	666	2	4
47	1	2	11	4	1	2	2	1	1	666	nevím	1	1	1	2	2	1	5	5	5	5	5	5	5	5	666	3	1
33	1	3	12	4	1	1	1	2	1	2	sys_empty	1	1	1	2	2	1	8	8	5	7	6	8	8	8	666	2	3
23	1	3	3	4	2	1	2	2	1	666	mìsíc	1	1	1	2	2	2	6	5	6	7	5	6	6	5	666	1	3
33	2	1	2	5	2	1	1	1	1	666	1 rok	1	1	1	2	1	1	10	10	10	3	3	10	3	10	666	2	1
32	1	4	2	1	1	1	2	1	1	666	pùl  roku	1	1	1	2	1	1	5	5	5	5	5	5	5	5	666	2	4
43	1	2	12	1	1	2	2	2	1	666	2 mìsíce	1	1	1	1	2	1	5	6	7	8	7	10	2	7	666	2	1
48	2	3	13	1	1	1	2	2	1	666	6 mìsícù	1	1	1	2	2	1	10	10	7	5	3	5	2	2	666	3	3
26	2	3	6	4	2	1	1	2	2	2	sys_empty	1	1	1	2	2	1	10	10	5	10	6	9	8	10	5	1	3
30	2	4	2	2	2	2	2	2	1	666	maximálnì 2 mìsíce	1	1	1	2	1	1	10	8	4	9	6	9	8	8	5	2	4
18	1	1	13	1	2	2	2	1	2	666	Tyden	1	1	1	1	2	2	10	10	10	10	6	10	1	8	1	1	1
49	2	1	14	4	1	3	3	1	1	666	v našem regionu jsem bez šance	1	1	1	2	1	1	10	8	2	5	8	9	7	10	4	3	1
53	1	3	6	5	1	2	2	1	2	666	u bych ho asi nenašel	1	2	1	2	2	2	10	5	3	9	5	9	10	5	666	3	3
42	2	3	1	6	1	1	1	1	1	666	2 roky	2	2	2	2	1	2	7	7	7	7	5	6	8	9	666	2	3
26	2	4	1	6	2	2	2	2	2	666	max 2 mìsíce	1	1	1	1	1	2	9	9	8	8	3	8	2	4	666	1	4
30	1	3	1	6	2	2	2	1	1	666	2 tıdny	1	1	1	2	2	1	9	9	10	10	2	3	5	3	666	2	3
42	2	4	1	6	2	2	2	1	2	666	a 6 mìsícù	1	1	1	1	1	2	4	4	7	5	6	9	7	6	9	2	4
24	1	3	3	5	1	1	1	1	1	2	sys_empty	1	1	1	2	2	2	10	10	10	10	1	5	10	5	1	1	3
33	1	3	14	3	1	3	3	1	2	2	sys_empty	1	1	1	1	1	1	7	7	5	7	3	7	3	3	8	2	3
36	1	2	10	1	1	2	2	1	2	666	3 mìsíce	1	1	1	2	1	1	6	7	5	6	5	5	5	4	666	2	1
46	1	4	11	4	2	1	2	2	1	666	2 roky	1	1	1	2	2	1	4	4	4	6	4	9	9	9	666	3	4
58	1	3	13	5	1	3	3	1	2	2	sys_empty	1	1	1	2	1	2	9	9	9	9	3	9	3	3	3	3	3
38	2	3	3	1	1	3	3	2	2	666	Práci si dávám sama a tak se nebojím, e bych o ní pøišla. Mám dostatek èasu na rodinu i nadprùmìrnı plat.	1	1	1	1	1	1	10	10	10	10	2	2	2	2	8	2	3
45	2	3	14	6	1	1	1	2	1	666	pùl roku	1	1	1	2	1	1	5	4	5	5	6	6	6	6	666	3	3
43	2	3	11	4	1	2	2	2	2	666	nevím	1	1	1	2	2	2	6	5	5	6	5	5	2	3	666	2	3
30	2	4	12	6	1	3	3	1	1	666	2-6 mìsícù	1	1	1	2	1	1	8	5	7	8	6	8	6	9	5	2	4
41	2	4	1	6	1	3	3	1	1	666	5mìsícù	1	1	1	2	1	1	8	7	8	6	7	8	7	7	5	2	4
38	1	3	1	6	2	2	2	1	1	666	Nehledal bych zamìstnání, spíše kombinaci brigád a vlastního podnikání na L	1	1	1	1	1	1	5	5	3	3	3	7	6	7	666	2	3
42	1	2	4	1	1	1	1	1	1	666	Nevím	1	1	1	1	2	2	9	9	9	8	6	6	4	4	666	2	1
56	1	3	3	4	1	2	2	2	1	666	nevím asi dlouho	1	1	1	1	1	1	10	8	9	9	6	6	7	7	666	3	3
33	2	4	1	6	1	3	3	2	2	666	maximálnì 2 mìsíce	1	1	1	2	1	1	8	8	6	8	5	7	5	5	5	2	4
23	2	4	13	4	2	1	1	1	1	666	slouho asi 5 let	1	1	1	1	1	1	6	7	4	6	7	8	6	7	1	1	4
37	2	3	6	5	1	3	1	1	2	666	zaèala bych podnikat	1	1	1	2	2	1	8	8	7	6	5	6	6	7	5	2	3
31	1	2	1	6	2	1	1	1	1	666	u dva roky hledám	1	1	1	2	1	1	4	4	2	4	10	4	10	10	4	2	1
50	2	1	2	1	1	1	3	1	1	666	3 roky mám zkušenosti jsem vinvalidním dùchodu a sehnat práci kterou bych mohla vykonávat trvá roky	1	1	1	2	1	1	9	9	8	9	4	8	5	5	3	3	1
36	2	2	1	6	1	1	1	1	1	666	6 mìsícù	1	1	1	2	1	1	7	4	3	5	6	6	6	9	666	2	1
45	1	2	10	5	2	2	1	2	2	666	2 mìsíce	1	1	1	2	2	1	6	6	3	6	8	10	3	10	666	3	1
47	1	2	14	4	1	2	2	1	2	2	sys_empty	1	1	1	2	1	1	9	8	5	9	3	7	5	9	2	3	1
49	1	2	3	3	1	1	1	1	1	666	12mìsícù	1	1	1	2	1	1	3	3	3	3	7	8	6	2	4	3	1
47	1	2	5	5	1	1	2	1	1	666	neím	1	1	1	2	1	2	7	7	5	8	7	8	6	7	2	3	1
55	2	3	4	5	2	2	2	2	2	2	sys_empty	1	1	1	2	2	1	5	5	5	5	5	5	5	5	8	3	3
32	1	4	5	5	1	1	1	2	2	2	sys_empty	1	1	1	1	1	1	5	5	5	5	3	3	3	3	666	2	4
37	1	2	2	2	2	2	1	1	1	666	3 mìsíce	1	1	1	2	1	1	4	3	6	6	7	5	2	2	666	2	1
24	1	3	14	2	1	1	1	2	1	666	Do roku.	1	1	1	2	2	2	9	8	7	7	3	5	4	7	666	1	3
43	1	2	14	3	1	2	2	2	2	2	sys_empty	1	1	1	2	2	1	10	10	10	10	2	3	3	2	8	2	1
37	1	3	6	5	1	1	2	1	1	666	nìkolik tıdnù	1	1	1	1	1	2	3	3	3	5	4	3	6	3	666	2	3
40	2	2	11	2	1	1	1	1	1	666	déle ne 1rok	1	1	1	2	1	1	5	6	5	7	10	10	10	10	666	2	1
33	2	4	1	6	1	2	2	2	2	666	do 2 mìsícù	1	1	1	2	1	1	7	7	4	8	10	10	10	8	666	2	4
19	1	1	3	5	1	3	3	1	2	2	sys_empty	1	1	1	1	1	2	6	5	7	9	4	8	7	6	1	1	1
57	1	2	11	5	2	1	1	1	1	666	Pokud by se podaøilo najít vùbec nìco , to je OTÁZKA	1	1	1	2	2	2	5	4	3	6	8	5	10	10	8	3	1
47	1	2	14	4	1	2	2	2	2	2	sys_empty	1	2	2	1	1	1	1	1	5	1	5	9	1	5	666	3	1
21	2	3	11	6	1	3	3	2	1	666	pul roku	1	1	1	2	1	1	9	9	7	7	5	6	3	7	1	1	3
21	2	3	10	2	2	1	1	2	1	666	pár let	1	1	1	1	1	2	8	6	5	7	7	4	8	10	1	1	3
33	1	3	14	4	2	2	2	2	2	2	sys_empty	1	1	1	1	1	1	5	4	2	8	5	6	10	10	7	2	3
59	1	2	2	5	1	1	1	1	1	666	Od loòského roku jsem nezamìstnanı bez jakéhokoli pøíjmu, iví mì manelka z dùchodu, pracoval jsem na pozici technik u plastovıch oken. Zamìstnavatel mi dal neprávem vıpovìï na hodinu za hrubé porušení práce, proti èemu jsem se ohradi. Nyní v zastoupení	1	1	1	2	2	1	4	3	2	6	8	10	5	8	4	3	1
50	1	3	12	5	2	3	3	1	1	666	mìsíc	1	2	1	1	2	2	7	7	7	7	2	8	8	3	666	3	3
51	2	3	12	4	1	3	3	1	2	2	sys_empty	1	1	1	1	2	2	1	1	1	1	10	10	10	10	2	3	3
48	1	2	10	1	1	1	2	1	1	666	1/2 roku	1	1	1	2	1	1	6	7	5	8	6	8	4	7	666	3	1
26	1	1	2	1	2	2	2	1	1	666	1 tyden	1	1	1	2	2	1	10	6	6	10	3	7	5	4	666	1	1
57	1	3	1	6	1	1	1	1	1	666	nevím	1	1	1	2	1	1	8	6	3	5	9	10	10	10	666	3	3
17	1	1	4	5	2	3	3	1	1	2	sys_empty	1	1	1	2	1	2	7	3	3	7	5	6	7	6	1	1	1
52	1	2	5	1	1	1	1	1	1	666	Vzhledem k nedostatku prac. pøíleitostí v místì mého bydlištì si netroufnu odhadnout, jak dlouho by mi trvalo najít nové zamìstnání. Ale pravdìpodobnì nìkolik mìsícù.	1	1	1	2	1	1	8	7	6	9	4	7	4	7	666	3	1
27	1	2	3	2	1	1	1	1	1	666	Stále hledám.	1	1	1	1	2	1	10	10	10	10	7	8	6	9	7	1	1
38	1	2	1	6	2	3	3	1	2	2	sys_empty	1	1	1	2	2	2	8	7	7	8	3	6	6	6	8	2	1
21	2	3	12	1	1	3	3	2	1	666	do pùl roku	1	1	1	1	1	2	7	8	9	7	5	8	2	5	1	1	3
23	2	3	11	4	1	3	3	2	1	666	pùl roku	1	1	1	1	1	2	9	9	9	8	2	3	3	2	1	1	3
59	1	4	11	6	1	2	2	2	2	2	sys_empty	1	1	1	2	1	2	5	5	4	7	9	5	9	6	666	3	4
22	2	4	1	6	2	1	1	2	1	666	6mìsícù	1	1	2	2	1	2	8	6	5	6	6	9	7	10	1	1	4
18	1	3	8	4	2	1	1	2	1	2	sys_empty	1	1	1	2	1	2	6	4	3	8	6	8	10	7	1	1	3
47	1	2	10	1	1	1	1	1	1	666	Na vysoèinì asi dlouho	1	1	1	2	1	1	5	8	7	9	9	9	9	8	666	3	1
26	1	3	7	4	1	3	3	1	1	666	nevím	1	1	1	1	2	1	4	4	4	5	5	5	4	5	666	1	3
32	1	3	8	5	1	1	2	2	1	666	Snad nejdéle rok, ale asi bych ¹el metodou najít cokoliv do mìsíce a pak ten cca rok hledat lep¹í	1	1	1	2	1	1	6	6	4	4	2	8	4	8	666	2	3
25	2	3	14	1	1	1	3	1	2	666	krátkou dobu	1	1	1	2	2	1	10	10	10	10	7	10	7	5	666	1	3
19	1	3	2	4	1	3	3	1	1	2	sys_empty	1	1	1	1	1	1	6	5	6	8	5	7	4	3	1	1	3
51	2	3	11	5	1	2	1	2	2	2	sys_empty	1	1	1	1	1	1	5	5	6	6	8	5	4	6	666	3	3
21	2	1	6	2	2	2	2	1	2	666	3 mìsíce	1	1	1	2	2	1	10	8	7	7	5	6	3	3	5	1	1
24	2	3	11	4	1	3	3	2	1	666	max. rok	1	1	1	1	1	1	7	7	5	7	4	5	4	6	1	1	3
23	1	4	13	1	1	3	3	2	1	2	sys_empty	1	1	1	2	1	1	8	7	6	8	5	7	6	6	1	1	4
19	1	3	10	5	2	3	1	2	1	666	do mìsíce, do dvou... :)	1	1	1	1	2	2	1	10	10	5	1	10	10	1	1	1	3
19	1	1	2	5	1	1	1	1	1	666	maximálnì pùl roku, ale více pravdìpodobné je tak 2-3 mìsíce	1	2	1	1	1	2	7	7	8	8	6	7	5	7	1	1	1
20	2	2	11	3	1	3	3	2	1	2	sys_empty	1	1	1	2	1	2	6	5	5	5	6	7	5	6	1	1	1
36	1	2	3	1	1	1	3	2	1	666	nevím odhaduji max. 14 dní	1	1	1	2	2	2	9	9	8	5	6	8	6	6	666	2	1
38	2	4	1	6	2	3	3	1	2	2	sys_empty	1	1	1	2	1	2	10	10	8	8	5	7	4	10	8	2	4
24	2	4	11	5	2	3	3	1	1	666	2 mìsíce	1	1	1	2	2	1	8	8	8	8	6	6	6	7	1	1	4
26	1	3	11	6	1	2	2	2	1	2	sys_empty	1	1	1	2	2	1	8	9	9	7	1	6	7	8	7	1	3
30	2	4	1	6	2	3	3	1	1	666	pùl roku	1	1	1	2	1	1	9	9	8	8	5	8	5	5	5	2	4
30	2	2	3	2	2	1	1	1	1	666	nevím	1	1	1	2	1	1	10	10	8	10	10	10	10	10	5	2	1
34	1	2	14	1	1	1	1	1	1	666	1rok	1	1	1	1	1	1	5	5	5	7	5	8	5	6	666	2	1
47	1	2	4	1	1	3	3	1	1	2	sys_empty	1	1	1	2	1	2	10	10	10	10	1	8	1	1	3	3	1
38	2	4	11	6	2	2	3	1	2	666	cca 5 mìsícù	1	1	1	2	1	1	9	9	7	10	6	9	7	8	666	2	4
28	2	3	13	1	2	1	1	2	1	666	2-3 mesice	1	2	1	1	2	1	7	7	6	6	9	9	7	7	666	1	3
53	1	2	2	1	1	1	1	1	1	666	rok	1	1	1	2	1	1	2	1	3	2	4	2	6	6	666	3	1
51	1	2	6	2	1	1	2	1	1	666	dlouho	1	1	1	2	1	2	3	3	2	7	3	2	5	2	666	3	1
49	1	3	12	5	1	1	1	1	1	666	nikde	1	1	1	2	1	1	9	4	8	10	2	6	2	2	8	3	3
53	1	2	1	6	1	3	3	1	1	666	rok	2	2	1	2	1	2	9	5	6	6	6	4	4	5	3	3	1
58	1	3	9	1	1	1	1	1	1	666	2 roky	1	1	1	1	2	1	5	5	5	6	6	7	6	6	666	3	3
40	2	2	12	3	1	1	1	1	1	666	záleí na místì bydlištì a v jakém vìku, ale asi tak pùl roku	1	2	1	2	2	1	8	7	5	10	4	3	3	3	666	2	1
32	1	2	1	6	1	2	2	2	2	2	sys_empty	1	1	1	2	1	1	6	6	6	6	6	6	6	3	666	2	1
49	1	3	1	6	2	1	1	1	1	666	1 rok	1	1	1	2	1	2	8	7	6	6	5	5	3	3	8	3	3
20	2	3	1	6	2	2	2	1	1	666	mìsíc	1	1	1	2	1	1	10	10	10	10	7	10	7	7	1	1	3
37	1	2	2	3	1	1	1	1	1	666	nemám ponìtí.ve vysokém vìku to bude asi problém	1	1	1	1	1	1	8	5	5	6	7	7	9	9	666	2	1
18	1	3	6	4	1	3	3	2	1	666	1/2 roku	1	1	1	2	2	1	6	4	6	7	5	6	6	6	1	1	3
40	2	2	6	1	2	1	1	1	1	666	s velkou mírou nezamìstnanosti nedokáu odhadnout	1	1	1	2	1	1	7	6	3	8	7	9	7	10	666	2	1
22	1	3	3	1	1	1	1	1	1	2	sys_empty	2	2	1	1	1	1	2	2	2	2	2	2	2	2	1	1	3
38	1	2	12	1	1	2	2	2	1	666	1 mìsíc	1	1	1	2	1	1	8	8	8	7	5	9	9	10	666	2	1
40	1	2	4	1	2	3	3	2	2	2	sys_empty	1	1	1	1	1	1	3	3	2	4	4	4	3	5	2	2	1
30	1	3	13	5	2	1	2	1	2	666	1-2 mìsíce	1	1	1	1	2	2	5	5	5	5	5	5	5	5	666	2	3
22	1	3	14	5	1	2	2	2	1	2	sys_empty	1	1	1	2	2	1	5	5	5	5	5	5	5	5	1	1	3
27	2	3	11	4	1	2	2	1	1	666	1/2 roku	1	1	1	2	1	1	10	10	5	5	7	5	4	6	666	1	3
38	2	2	2	1	1	1	1	1	1	666	rok	1	1	2	2	1	1	3	1	1	3	10	10	9	10	666	2	1
49	1	2	2	2	2	2	2	1	2	2	sys_empty	1	1	1	1	1	1	5	5	5	6	4	3	7	7	666	3	1
23	2	2	8	1	1	1	1	1	1	666	2 mìsíce	1	1	1	2	1	1	8	8	7	8	4	6	5	6	5	1	1
54	1	2	7	2	2	1	1	1	1	666	Záleí na okolnostech	2	2	1	2	2	1	7	5	8	7	8	9	5	10	666	3	1
52	1	3	9	5	2	3	1	1	1	666	nevím	1	1	1	2	1	2	8	8	8	9	6	8	6	7	666	3	3
43	2	3	13	4	2	1	1	1	1	666	2 roky	1	1	1	2	1	1	4	5	4	5	7	10	4	10	666	2	3
32	2	4	1	6	1	3	3	1	2	666	max. 1 rok	1	1	1	1	1	1	10	10	9	10	5	8	7	5	5	2	4
21	1	3	11	4	1	3	2	2	1	2	sys_empty	2	2	2	2	2	2	1	2	3	2	8	1	9	1	1	1	3
37	2	2	4	6	2	2	2	1	1	666	1-2 mìsíce	1	1	1	1	2	1	5	5	4	4	4	4	4	5	666	2	1
59	2	1	10	2	1	3	3	1	2	666	1/2roku	2	2	1	2	1	2	10	10	6	10	4	10	6	8	2	3	1
37	2	2	2	5	1	2	1	1	2	2	sys_empty	2	1	1	2	2	2	7	7	6	6	4	4	3	5	666	2	1
39	2	2	4	5	1	2	2	1	1	666	mìsíc	1	1	1	2	2	1	9	9	6	6	1	9	10	1	5	2	1
53	1	3	1	6	1	1	1	2	1	666	0,5 roku	1	1	1	2	2	2	6	5	7	6	4	9	9	8	666	3	3
32	1	2	14	5	1	2	2	1	1	666	1 mìsic?	1	1	1	2	2	1	5	5	5	5	5	6	5	6	666	2	1
24	2	4	11	5	2	2	2	2	2	666	2 mìsíce	1	1	1	2	1	1	10	10	6	9	2	6	5	7	666	1	4
43	1	3	2	1	1	1	2	2	1	666	3 mìsíce	1	1	1	2	1	1	3	4	8	8	2	3	2	1	666	2	3
20	1	2	9	2	1	1	1	1	1	666	3 mesice	1	1	1	1	1	1	6	4	3	3	6	5	5	8	4	1	1
42	1	4	1	6	2	3	3	1	2	2	sys_empty	1	1	1	1	2	2	10	10	9	10	8	9	10	9	7	2	4
37	2	3	14	6	1	2	2	1	1	666	6 mìsícù	1	1	1	2	2	1	10	10	10	10	2	3	1	1	666	2	3
27	2	3	2	1	1	3	3	1	1	2	sys_empty	1	1	1	1	1	1	7	7	6	6	6	6	3	5	4	1	3
28	1	4	3	4	2	2	2	2	2	2	sys_empty	1	1	1	1	2	1	10	10	10	10	3	8	8	3	9	1	4
53	1	3	6	3	2	3	3	1	2	2	sys_empty	1	1	1	2	1	1	7	7	8	6	5	6	4	4	8	3	3
21	1	3	2	1	1	1	1	2	1	2	sys_empty	1	1	1	1	1	1	5	5	4	5	7	6	3	6	1	1	3
36	2	3	1	6	1	1	1	1	1	666	1 mìsíc	1	1	1	2	1	1	5	5	4	6	8	8	6	9	666	2	3
30	1	3	11	6	2	2	2	1	1	666	max 3 mìsíce	1	1	1	2	2	1	9	7	8	7	5	9	7	7	666	2	3
22	2	3	11	6	1	1	1	2	1	666	rok	2	1	1	2	1	1	8	8	7	7	6	9	4	3	666	1	3
20	2	3	8	4	2	3	3	2	1	2	sys_empty	1	1	1	2	2	1	10	10	8	10	3	8	3	4	1	1	3
32	1	2	5	5	1	1	2	1	1	666	2-3 mìsíce	1	1	1	1	2	1	10	10	6	10	5	8	4	4	666	2	1
33	2	4	11	6	1	2	2	1	1	666	6mesicu	1	1	1	1	1	1	9	9	7	9	1	9	1	3	5	2	4
32	2	3	10	1	1	1	2	1	2	666	6mìsícù	1	1	1	2	2	2	9	9	6	4	4	8	5	6	666	2	3
27	2	3	6	5	1	2	2	1	2	666	podle situace	1	1	1	2	2	2	5	5	4	5	8	10	8	8	666	1	3
55	1	2	13	2	2	1	1	1	1	666	Moná u vùbec ne,kdy máme tak dobré vedení.	1	1	1	2	1	1	2	5	1	3	9	10	9	10	666	3	1
46	2	2	13	4	1	1	1	1	1	666	asi hodnì dlouho,mìsíce	1	1	1	2	1	1	7	7	3	6	4	10	7	10	666	3	1
33	2	4	1	6	1	1	2	1	1	666	3 mìsíce	1	1	1	2	1	2	10	8	8	9	5	5	4	6	666	2	4
32	2	4	1	6	2	3	3	2	2	666	záleí to na poptávce na trhu práce	1	1	1	2	1	1	9	9	9	9	7	8	6	7	5	2	4
40	2	2	11	2	2	1	1	1	1	666	Tak momentálnì jsem nezamìstnaná a mám obavu kdy jsem nemocná, e najít práci bude problém	1	1	1	1	1	1	4	4	3	3	10	10	8	10	4	2	1
54	2	3	3	3	1	3	3	1	1	666	asi pùl roku	1	1	1	2	1	1	6	6	6	7	6	5	8	6	2	3	3
29	1	2	2	2	2	2	1	1	1	666	1 mìsíc	1	1	1	2	1	1	5	4	3	4	7	7	5	6	666	1	1
42	1	2	11	1	1	1	1	2	1	666	Vùbec netuším	1	1	1	2	2	1	7	6	3	10	7	6	8	9	666	2	1
44	2	4	1	6	1	1	1	1	1	666	6 mìsícù	1	1	1	2	2	1	6	6	6	5	5	3	4	3	666	2	4
33	2	3	3	2	2	2	2	1	2	666	Tìko øíci, moná bych musela sníit své nároky a urèitì by se èasem nìjaké našlo.	1	1	1	2	1	1	9	7	5	9	8	8	8	8	5	2	3
21	2	3	9	2	1	3	3	1	1	666	šla bych èásteènì vypomáhat pøíteli (podnikateli), mezitím ne bych našla nové zamìstnání	1	1	2	2	1	1	9	9	3	7	6	8	5	7	1	1	3
47	2	2	11	6	1	1	1	2	2	666	ne moc louho,tak  mìsíc	2	1	1	2	1	1	6	6	4	8	9	10	9	9	666	3	1
