p_sex,p_age,p_size,p_edu,p_nuts3,p_income,p_house_income,s1,s2_1,s2_2,s2_3,s2_4,s2_5,s3_1,s3_2,s3_3,s3_4,s3_5,s3_6,s3_7,s3_8,s3_9,s3_10,s3_11,s3_12,s4_1,s4_2,s4_3,s4_4,s5,s6,s6_code1,s6_code2,s6_code3,s7_1,s7_2,s7_2_code1,s7_2_code2,s7_2_code3,s8_1,s8_2,s8_2_code1,s8_2_code2,s8_2_code3,s10,s10_O_T_H,s11_1,s11_2,s11_3,s11_4,s9_1,s9_1_code1,s9_1_code2,s9_1_code3,s9_1_code4,s9_2,s9_2_code1,s9_2_code2,s9_2_code3
ena,45,Obec s 1000 - 1999 obyvateli,Maturita,13,88,88,Ano,20,50,30,0,100,Velmi mnì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Málo mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Neuvedl,,,Dennì /témìø dennì,Dennì /témìø dennì,Dennì /témìø dennì,Vùbec,Noviny - denní tisk,nevím,Neuvedl,,,MF dnes,seriozní zpravodajství,"Pravdivé, kvalitní",,,iDnes,seriozní zpravodajství,"Kvalita, objektivnost",,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,0,0,0,jsme doma,"Kdy odpoèívám/mám pauzu, kdy chci",,,,jsem na cestách,Jiné,,
Mu,44,Mìsto s 20000 - 99999 obyvateli,VŠ,13,7,9,Ano,5,55,30,10,100,Velmi mnì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Vùbec mì nezajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Technika,,,1-2x tıdnì,Dennì /témìø dennì,3-4x tıdnì,Dennì /témìø dennì,"Internetové zpravodajské deníky, servery","typ informací, monost vícenásobného provìøení, nezávislost na èeskıch zdrojích",Širokı rozsah informací,"Pravdivé, kvalitní, ovìøitelné",,MF Dnes,tradice?,"Ze zvyku, líbí se mi",,,iDnes,zvyk,"Zvyk, nastavená DS",,,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na tabletu,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na mobilu,1x tıdnì ve schránce,"Èasto, pravidelnì",,,,snadná dostupnost,"Je aktuální, kdykoli dostupné",,
Mu,50,Velkomìsto nad 100 000 obyvatel,Maturita,1,5,4,Ano,2,70,20,8,100,Velmi mnì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Auto - moto,,,Ménì èasto,Dennì /témìø dennì,1-2x tıdnì,Dennì /témìø dennì,"Internetové zpravodajské deníky, servery","Chci vìdìt, co se dìje",Pøehled událostí,,,Hospofáøské noviny,nemají bulvár,Obsah (zamìøení i rozsah),,,iDnes,zvyk,"Zvyk, nastavená DS",,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na mobilu,0,0,na dovolené,Kdy cestuji,,,,je to po ruce,"Je aktuální, kdykoli dostupné",,
Mu,38,Mìsto s 20000 - 99999 obyvateli,Maturita,13,5,5,Ano,5,45,45,5,100,Velmi mnì zajímá,Velmi mnì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Málo mì zajímá,Málo mì zajímá,Bydlení,Technika,,Ménì èasto,Dennì /témìø dennì,Dennì /témìø dennì,1-2x tıdnì,"Internetové zpravodajské deníky, servery",je jich tam dostatek ikdyz nekdy jsou zajimavejsi zpravy v TV,Širokı rozsah informací,,,5+2,jsou zdarma,Levné/zdarma,,,iDnes,dostatek informaci vseh druhu,Rozsah,,,"Ano, vypište prosím maximáílní pøípustnou èástku za mìsíc:",max.120Kè/rok a neslemi by tam byt reklamy,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na notebooku,0,0,se knejakym novnam dostanu (noviny jinak nekupuji),Kdy je dostanu/nìkdo je koupí,,,,je to promne dostupnejsi ctivo,"Je aktuální, kdykoli dostupné",,
ena,24,Velkomìsto nad 100 000 obyvatel,Maturita,1,3,4,Ano,5,70,22,3,100,Velmi mnì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vaøení,Hobby,,1-2x tıdnì,Dennì /témìø dennì,3-4x tıdnì,Ménì èasto,Televizní zpravodajství,"Je zde vıbìr toho nejpodstatnìjšího, reprodukováno a zaruèeno kvalitou",Pøehled událostí,"Pravdivé, kvalitní, ovìøitelné",,"DNES, Právo, Lidové noviny","Podstatnost a zajímavost témat pro mì, širokı zábìr, kvalita",Obsah (zamìøení i rozsah),"Pravdivé, kvalitní",,iDnes,Pøehled a velké mnoství vèasnıch informací,Rozsah,"Rychlost, aktuálnost",Pøehledné,"Ano, vypište prosím maximáílní pøípustnou èástku za mìsíc:",100,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na mobilu,0,"U rodièù, nebo ti je kupují",Kdy je dostanu/nìkdo je koupí,,,,"Kdykoli, pøístup na internet mám kdykoli chci","Je aktuální, kdykoli dostupné",,
Mu,45,Velkomìsto nad 100 000 obyvatel,Maturita,1,4,5,Ano,5,65,30,0,100,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,"Cestování, cizí zemì",Vaøení,Jiná,1-2x tıdnì,Dennì /témìø dennì,3-4x tıdnì,Vùbec,Obešel /obešla bych se beze všech,sys_filtered_off,"-9,00",,,Lidové Noviny,odlišnost,Jiné,,,iDnes,aktuálnost,"Rychlost, aktuálnost",,,Ne,sys_empty,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na stolním poèítaèi,0,0,je dostanu,Kdy je dostanu/nìkdo je koupí,,,,prùbìnì poøád v mobilu,Kdy jsem na internetu,,
ena,42,Velkomìsto nad 100 000 obyvatel,Maturita,1,88,88,Ano,0,80,20,0,100,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Vùbec mì nezajímá,"-9,00",,,Ménì èasto,Dennì /témìø dennì,3-4x tıdnì,Vùbec,"Internetové zpravodajské deníky, servery","Jsem zvyklá prùbìnì bìhem dne mít informace, co se dìje","Mám rád/a, je to zvyk, vyhovuje forma",,,MF Dnes,na internetu ètu idnes,Jiné,,,iDnes,pøijde mi nejobsáhlejší,Rozsah,,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na mobilu,0,0,e se k nim nìkde náhodnì dostanu,Kdy je dostanu/nìkdo je koupí,,,,sedím celı den u poèítaèe,Kdy jsem na internetu,,
Mu,37,Mìsto s 20000 - 99999 obyvateli,VŠ,7,4,3,Ano,0,70,5,25,100,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Málo mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,"-9,00",,,Ménì èasto,Dennì /témìø dennì,1-2x tıdnì,Dennì /témìø dennì,"Internetové zpravodajské deníky, servery",dostupnost,Dostupnost,,,MF Dnes,zvyk,"Ze zvyku, líbí se mi",,,iDnes,pøehlednost,Pøehledné,,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na tabletu,u rodièù na návštìvì,Kdy je dostanu/nìkdo je koupí,,,,"práci, doma",Kdy jsem doma/v práci,,
ena,24,Velkomìsto nad 100 000 obyvatel,Maturita,1,6,9,Ano,0,80,5,15,100,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Málo mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Jiná,,,Ménì èasto,Dennì /témìø dennì,1-2x tıdnì,Dennì /témìø dennì,"Internetové zpravodajské deníky, servery","monost vybrat si jednoduše informace, které mì zajímá a selektovat ty, které mì nezajímají",Vybírám si informace/zdroje,,,MF DNES,pøílohy,Pøílohy,,,iDNES,?,Neuvedl,,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na mobilu,0,0,"Zcela náhodnì, kdy jsou nìkde zdarma k dispozici",Kdy je dostanu/nìkdo je koupí,,,,"Pohodlnost, jednoduché vybrání informace, která mì zajímá",Kdy se nudím/relaxuji,Kdy mì nìco zajímá,
Mu,43,Mìsto s 20000 - 99999 obyvateli,VŠ,8,5,7,Ano,5,60,10,25,100,Velmi mnì zajímá,Velmi mnì zajímá,Málo mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Regiony,,,1-2x tıdnì,Dennì /témìø dennì,3-4x tıdnì,Dennì /témìø dennì,"Internetové zpravodajské deníky, servery",Rychlá dostupnost aktuálních informací.,"Aktuálnost, rychlost",,,MF DNES,"zvykl jsem si, jiné ani nezkouším, mám dílèí pøedplatné","Ze zvyku, líbí se mi",,,iDNES,"širokı zábìr, monost vıbìru, aktuálnost",Rozsah,"Rychlost, aktuálnost",,"Ano, vypište prosím maximáílní pøípustnou èástku za mìsíc:",100,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na notebooku,0,0,"mám pøedplatné, dva dny v tıdnu - ètu hlavnì pøílohy a obecné komentáøe","Èasto, pravidelnì",,,,"ètu dennì, vybírám si aktuality a zajímavé rozhovory",Navštìvuji dennì,Kdy mì nìco zajímá,
Mu,18,Mìsto s 20000 - 99999 obyvateli,Základní,3,1,7,Ano,10,40,30,20,100,Velmi mnì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,"-9,00",,,3-4x tıdnì,Dennì /témìø dennì,3-4x tıdnì,Dennì /témìø dennì,"Internetové zpravodajské deníky, servery","nejrychlejší, k dispozici kdykoliv","Aktuálnost, rychlost",Dostupnost,,MF Dnes,kvalita,"Pravdivé, kvalitní",,,Idnes,kvalita,"Kvalita, objektivnost",,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na tabletu,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na notebooku,"kdy mám èas, jsem doma",Kdy mám èas,,,,"pospíchám, chci rychle aktuální info","Je aktuální, kdykoli dostupné",,
Mu,31,Obec s 1000 - 1999 obyvateli,VŠ,14,7,7,Ano,0,70,20,10,100,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,"-9,00",,,Ménì èasto,Dennì /témìø dennì,3-4x tıdnì,3-4x tıdnì,"Internetové zpravodajské deníky, servery",pøístup k internetu mám skoro všude,Dostupnost,,,Mladá fronta,obèas je ètu ve vlaku,Dostupnost,,,Idnes,mají pøehledné zpravodajství,Pøehledné,,,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na tabletu,Internetové zpravodajství ètu na stolním poèítaèi,kdy jedu ve vlaku do Prahy - dostanu noviny zdarma,Kdy je dostanu/nìkdo je koupí,,,,pøístup je všude a vyuívám to,"Je aktuální, kdykoli dostupné",,
Mu,39,Mìsto s 20000 - 99999 obyvateli,Maturita,9,4,7,Ano,10,40,30,20,100,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Vùbec mì nezajímá,"-9,00",,,1-2x tıdnì,Dennì /témìø dennì,Dennì /témìø dennì,Dennì /témìø dennì,Rozhlasové zpravodajství,Je po ruce kdykoli jedu autem.,Dostupnost,,,Mladá Fronta,Ostatní se nedají èíst.,"Ze zvyku, líbí se mi",,,Idnes,Je pøehlednı,Pøehledné,,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na notebooku,0,0,Kdy chci,"Kdy odpoèívám/mám pauzu, kdy chci",,,,Kdy chci,Kdy mám èas,,
Mu,26,Mìsto s 5000 - 19999 obyvateli,Maturita,2,1,1,Ano,35,55,10,0,100,Málo mì zajímá,Málo mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Vùbec mì nezajímá,"-9,00",,,1-2x tıdnì,3-4x tıdnì,3-4x tıdnì,1-2x tıdnì,"Internetové zpravodajské deníky, servery",Informace jsou zde vdy nejaktuálnìjší a po dobu 24 hodin,"Aktuálnost, rychlost",,,Lidové noviny,nefabulují,"Pravdivé, kvalitní",,,Idnes,mám jej na své domovské adrese,"Zvyk, nastavená DS",,,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,0,0,0,na cestách nemám pøístup k internetu,Kdy cestuji,Kdy nemùu na internet,,,"je mám k dispozici vdy, kdy jsem na své domovské adrese",Kdy jsem na internetu,,
Mu,51,Mìsto s 20000 - 99999 obyvateli,VŠ,6,1,3,Ano,10,60,20,10,100,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Jiná,,,Ménì èasto,Dennì /témìø dennì,1-2x tıdnì,Ménì èasto,"Internetové zpravodajské deníky, servery","je to mùj hlavní zdroj informací - i tìch, bez kterıch se v bìném ivotì neobejdete (napø. zmìny zákonù a z nich vyplıvajících povinností)","Mám rád/a, je to zvyk, vyhovuje forma",,,Lidové noviny,"vysoká míra objektivity, kvaltní zpracování témat","Pravdivé, kvalitní",,,IDNES,pøedevším ze zvyku + bonusovı program,"Zvyk, nastavená DS",Jiné,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,0,0,0,nemám pøedplatné - take pouze pokud se mi dostanou noviny náhodou do ruky,Kdy je dostanu/nìkdo je koupí,,,,dennì - je aktuální,Navštìvuji dennì,"Je aktuální, kdykoli dostupné",
Mu,31,Mìsto s 5000 - 19999 obyvateli,VŠ,2,6,10,Ano,18,70,2,10,100,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Málo mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Technika,Vìda,,Ménì èasto,3-4x tıdnì,Vùbec,Ménì èasto,"Internetové zpravodajské deníky, servery","Obejít se lze bez všech zdrojù informací, ale internet poskytuje ty informace, které mne zajímají, kdy já chci a nejsou mi zcela vnucovány.",Širokı rozsah informací,Dostupnost,,Metro,Snadno dostupné pøi cestì do práce,Dostupnost,,,idnes.cz,Dobøe èlenìné a relativnì støízlivì podané informace,Pøehledné,"Kvalita, objektivnost",,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na mobilu,0,Jsem na cestì a není mobilní signál (metro),Kdy cestuji,Kdy nemùu na internet,,,"Je aktuální a jsou dostupné ty informace, které mne zajímají","Je aktuální, kdykoli dostupné",Kdy mì nìco zajímá,
Mu,25,Vesnice do 999 obyvatel,Maturita,9,3,4,Ano,5,90,5,0,100,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Vìda,Technika,,Ménì èasto,1-2x tıdnì,Ménì èasto,Ménì èasto,"Internetové zpravodajské deníky, servery","rychlost, pøehlednost","Aktuálnost, rychlost",Pøehled událostí,,MF dnes,pravdivost zpráv,"Pravdivé, kvalitní",,,idnes.cz,je tam téma vìda a vesmír,Jiné,,,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,0,0,0,kdy nemám po ruce internet,Kdy nemùu na internet,,,,"chci se rychle nìco dozvìdìt, je zdarma","Je aktuální, kdykoli dostupné",Jsou zdarma,
ena,34,Obec s 2000 - 4999 obyvateli,VŠ,10,3,6,Ano,2,60,35,3,100,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Velmi mnì zajímá,Vùbec mì nezajímá,"-9,00",,,Ménì èasto,Dennì /témìø dennì,3-4x tıdnì,1-2x tıdnì,"Internetové zpravodajské deníky, servery",chci bıt v obraze a nestíhám televizní zpravodajství v tv,Pøehled událostí,,,mf dnes,dùvìryhodné,"Pravdivé, kvalitní",,,idnes.cz,je tam skoro vše co mì zajímá,Rozsah,,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na notebooku,0,0,spíše v práci o svaèinì,"Kdy odpoèívám/mám pauzu, kdy chci",,,,chci bıt v obraze a na internetu je to kdykoliv k dispozici,"Kvùli rozsahu, objektivitì","Je aktuální, kdykoli dostupné",
ena,19,Obec s 1000 - 1999 obyvateli,Základní,2,88,88,Ano,0,75,25,0,100,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,"-9,00",,,Ménì èasto,3-4x tıdnì,Dennì /témìø dennì,Vùbec,"Internetové zpravodajské deníky, servery","Je to pro mì nejdostupnìjší forma a chci bıt alespoò nìjak informována o tom, co se dìje.",Dostupnost,Pøehled událostí,,MF Dnes,"jsem na nì zvyklá, jiné nekupujeme","Ze zvyku, líbí se mi",,,idnes.cz,pøehlednost,Pøehledné,,,Ne,sys_empty,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na notebooku,0,0,Je nìkdo koupí,Kdy je dostanu/nìkdo je koupí,,,,"Je mohu èíst na mobilu a protoe mì zajímá, co se dìje",Kdy jsem na internetu,Kdy mì nìco zajímá,
ena,20,Velkomìsto nad 100 000 obyvatel,Maturita,1,1,4,Ano,10,30,30,30,100,Velmi mnì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Málo mì zajímá,Málo mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Pøekódovat do 1-8 pøíp. ádné,,,Ménì èasto,1-2x tıdnì,1-2x tıdnì,1-2x tıdnì,"Internetové zpravodajské deníky, servery",lze je proèítat kdykoliv mám èas na rozdíl od televizního zpravodajství,Dostupnost,,,Hospodáøské noviny,poskytují vìrohodné informace,"Pravdivé, kvalitní",,,idnes.cz,vyhovuje mi,"Vyhovuje, mám rád/a",,,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na mobilu,0,0,e je nìkdo v domácnosti koupí,Kdy je dostanu/nìkdo je koupí,,,,kdy mám volnou chvíli a po ruce pc,Kdy mám èas,Kdy jsem na internetu,
Mu,33,Obec s 2000 - 4999 obyvateli,Maturita,7,5,7,Ano,0,70,15,15,100,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Velmi mnì zajímá,Regiony,Hobby,Technika,Vùbec,Dennì /témìø dennì,3-4x tıdnì,3-4x tıdnì,"Internetové zpravodajské deníky, servery",Nejrychlejší zpùsob pøedávání informací dostupnı témìø kdykoliv a kdekoliv,"Aktuálnost, rychlost",Dostupnost,,sys_filtered_off,sys_filtered_off,-9,,,idnes.cz,"pøehledná aplikace v mob. telefonu, dùvìryhodnı",Dostupnost,"Kvalita, objektivnost",,Ne,sys_empty,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na tabletu,Internetové zpravodajství ètu na notebooku,sys_filtered_off,-9,,,,ètu pouze internetové servery,Jiné,,
Mu,23,Mìsto s 20000 - 99999 obyvateli,Maturita,6,1,4,Ano,10,75,15,0,100,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Technika,,,1-2x tıdnì,Dennì /témìø dennì,Dennì /témìø dennì,Ménì èasto,"Internetové zpravodajské deníky, servery","Je to vdy snadno dostupné, díky chytrım mobilním telefonùm.",Dostupnost,,,Metro,Zdarma,Levné/zdarma,,,idnes.cz,pøehlednì z domova i ze svìta,Pøehledné,Rozsah,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na tabletu,"doma, popø na cestách, kdy je dostanu pøed nádraím","Kdy odpoèívám/mám pauzu, kdy chci",Kdy cestuji,Kdy je dostanu/nìkdo je koupí,,"na cestách, protoe je mám stále u sebe v mobilu",Jiné,,
ena,18,Velkomìsto nad 100 000 obyvatel,Základní,11,88,99,Ano,0,100,0,0,100,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Pøekódovat do 1-8 pøíp. ádné,,,Ménì èasto,1-2x tıdnì,Ménì èasto,Vùbec,Obešel /obešla bych se beze všech,sys_filtered_off,"-9,00",,,Mladá fronta Dnes,Máme je ve škole zadarmo ;),Dostupnost,,,idnes.cz,Nejpøehlednìjší.,Pøehledné,,,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,0,0,0,"Kdy mám tu monost, tak si radìji pøeètu tištìné noviny. Je to po oèi pøíjemnìjší.",Kdy je dostanu/nìkdo je koupí,,,,Vìtší mnoství informací.,"Kvùli rozsahu, objektivitì",,
Mu,39,Velkomìsto nad 100 000 obyvatel,Maturita,1,6,7,Ano,20,60,20,0,100,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Technika,,,3-4x tıdnì,Dennì /témìø dennì,1-2x tıdnì,Ménì èasto,"Internetové zpravodajské deníky, servery",kdykoli dostupné na mobilu - vím co se aktuálnì dìje,Dostupnost,"Aktuálnost, rychlost",,MF DNES,"mnohaletı zvyk, kvalita","Ze zvyku, líbí se mi",,,idnes.cz,kvalita,"Kvalita, objektivnost",,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na notebooku,0,cestou do a ze zamìstnání,Kdy cestuji,,,,"stále on-line, èerstvé informace v prùbìhu dne","Je aktuální, kdykoli dostupné",,
Mu,40,Vesnice do 999 obyvatel,Maturita,11,5,4,Ano,0,50,30,20,100,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Jiná,,,Ménì èasto,Dennì /témìø dennì,Dennì /témìø dennì,3-4x tıdnì,"Internetové zpravodajské deníky, servery",aktuálnost,"Aktuálnost, rychlost",,,Dnes,odpovídají mé pøedstavì novin,"Ze zvyku, líbí se mi",,,idnes.cz,vyhovuje mi,"Vyhovuje, mám rád/a",,,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na mobilu,0,0,e mám dost èasu,Kdy mám èas,,,,prùbìnì,"Je aktuální, kdykoli dostupné",,
Mu,40,Mìsto s 5000 - 19999 obyvateli,Maturita,4,4,6,Ano,10,80,0,10,100,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,"-9,00",,,Ménì èasto,Dennì /témìø dennì,Ménì èasto,Dennì /témìø dennì,"Internetové zpravodajské deníky, servery",je nejaktuálnìjší,"Aktuálnost, rychlost",,,Plzeòskı deník,jsou o Plzni,Obsah (zamìøení i rozsah),,,idnes.cz,nevím,Neuvedl,,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na mobilu,0,0,e jsou zdarma v restauraci,"V èekárnì, restauraci",,,,jsou aktuální,"Je aktuální, kdykoli dostupné",,
ena,34,Velkomìsto nad 100 000 obyvatel,VŠ,1,6,10,Ano,0,45,45,10,100,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Vùbec mì nezajímá,"-9,00",,,Vùbec,Dennì /témìø dennì,Dennì /témìø dennì,3-4x tıdnì,"Internetové zpravodajské deníky, servery",informace jsou aktualizované v reálném èase a je k nim pøístup kdykoli a odkudkoli,"Aktuálnost, rychlost",Dostupnost,,sys_filtered_off,sys_filtered_off,-9,,,idnes.cz,univerzální zpravodajství,Rozsah,,,Ne,sys_empty,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na notebooku,0,0,sys_filtered_off,-9,,,,jsou aktuální a kdykoli dostupné,"Je aktuální, kdykoli dostupné",,
