p_sex	p_age	p_size	p_edu	p_nuts3	p_income	p_house_income	s1	s2_1	s2_2	s2_3	s2_4	s2_5	s3_1	s3_2	s3_3	s3_4	s3_5	s3_6	s3_7	s3_8	s3_9	s3_10	s3_11	s3_12	s4_1	s4_2	s4_3	s4_4	s5	s6	s6_code1	s6_code2	s6_code3	s7_1	s7_2	s7_2_code1	s7_2_code2	s7_2_code3	s8_1	s8_2	s8_2_code1	s8_2_code2	s8_2_code3	s10	s10_O_T_H	s11_1	s11_2	s11_3	s11_4	s9_1	s9_1_code1	s9_1_code2	s9_1_code3	s9_1_code4	s9_2	s9_2_code1	s9_2_code2	s9_2_code3
2	31	6	4	12	2	5	1	10	80	10	0	100	3	3	1	3	1	4	3	4	4	-9	 	 	3	1	3	5	2	aktuálnost a rùznorodost - zahranièní a èeské servery	1	4	 	al jazeera a egyptan street	novı náhled na to, co se deje v arabskych zemich	2	 	 	egyptian street, russian street - pokud se to tak pise	doctu se tam veci, co u nas ne	4	 	 	666	100	2	4	0	0	kdyz je nahodou mam k dispozici	2	 	 	 	me zajima aktualnost, jsou snadno pristupne	8	 	 
1	49	2	3	11	88	88	1	0	70	10	20	100	1	1	2	4	1	2	3	2	3	11	 	 	4	1	3	1	2	Dají se nalézt témìø všechny informace na jednom místì	4	 	 	nemám	nic	99	 	 	echo24	obsahuje informace a dobré komentáøe	4	7	 	666	200	2	4	1	3	e jsou nìkde k dispozici, èekárny, restaurace atd.	8	 	 	 	povauji je za hlavní informaèní medium	80	 	 
1	39	5	1	13	3	4	1	5	50	35	10	100	1	1	1	1	2	1	2	1	2	15	80	 	3	1	1	1	2	aktualnost,	1	 	 	BLESK	Levna cena	8	 	 	i dnes	hodnì aktualní	1	 	 	2	sys_empty	1	0	0	0	monosti koupení	80	 	 	 	pokud neseenu noviny	6	 	 
1	37	1	2	9	5	6	1	1	70	24	5	100	1	1	2	3	1	1	2	1	4	-9	 	 	4	1	2	1	2	nejrychlejší zprávy	3	 	 	deník	rozumné	3	 	 	i dnes	nejrychlejší	1	 	 	2	sys_empty	1	0	0	0	minimálnì	5	 	 	 	dozvím se víc	4	 	 
2	57	3	3	4	5	7	1	1	95	1	3	100	2	2	3	2	2	3	2	1	2	16	 	 	4	1	3	3	2	informace jsou zde hned	1	 	 	mladá fronta	pøehledné,snad i pravdivé	2	3	 	i dnes	dobrá úroveò	5	 	 	2	sys_empty	1	0	0	0	na chatì	6	 	 	 	v zamìstnání	2	 	 
2	25	1	3	4	7	8	1	2	5	65	28	100	3	2	3	3	1	4	2	1	3	80	 	 	5	3	2	1	3	všeobecné informování o dìní  u nás i ve svìtì	4	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	i dnes a super	i dnes - novinky všeobecné, super- celebrity	80	 	 	2	sys_empty	2	4	0	0	sys_filtered_off	-9	 	 	 	Pøi brouzdání internetem kdy narazím na zajimavost- noviny,kdy se mi dostanou do rukou,nekupuji si je	3	 	 
2	48	6	3	1	88	88	1	10	30	50	10	100	2	2	1	4	1	3	3	1	3	0	 	 	2	1	1	3	2	je to rychlé a v jakou koliv dobu	1	3	 	MF  Dnes	jsem na nì zvyklá	4	 	 	i-dnes	aktuální	1	 	 	2	sys_empty	1	4	0	0	mohu si pøeèíst kdykoliv	80	 	 	 	v jakou koliv hodinu	8	 	 
2	48	6	4	1	5	4	1	5	30	64	1	100	1	1	2	1	1	1	2	1	2	12	 	 	3	1	1	4	3	ivé vysílání, aktuality, pøehled	8	1	2	MF Dnes	objektivita	3	 	 	i-dnes	seznam a email je domovská stránka	3	 	 	2	sys_empty	2	1	0	0	v dopravních prostøedcích	1	 	 	 	ráno doma u kafe, je poruce	7	 	 
1	39	3	3	11	7	8	1	10	75	15	0	100	1	1	3	3	1	3	4	4	4	-9	 	 	3	1	2	4	2	Primární zdroj informací. Zejména pokud jde o rychlost.	1	 	 	Respekt	Kvalitní názory	3	 	 	idnes	široké spektrum informací	4	 	 	2	sys_empty	1	4	0	0	pokud se k nim dostanu	2	 	 	 	dostupnost, èerstvost zpráv, rozsah informací	8	9	 
2	33	6	4	4	88	88	1	5	70	15	10	100	2	1	2	1	1	4	3	1	4	-9	 	 	4	1	2	2	2	je to dostupné kdekoliv	3	 	 	MF Dnes	vyváené zprávy ze všech témat	2	 	 	idnes	seriózni informace	5	 	 	2	sys_empty	1	2	0	0	nìkde je dostanu	2	 	 	 	kadı den ráno, abych mìla pøehled	1	9	 
1	42	5	3	13	4	4	1	1	80	4	15	100	1	1	3	2	1	3	3	2	3	15	 	 	4	1	2	1	5	sys_filtered_off	-9	 	 	Mladá fronta	rozmanitost	2	 	 	idnes	rozmanitost	4	 	 	666	50	1	2	4	0	v restauraci, jsou kdispozici	8	 	 	 	v práci, doma - aktuální informace	2	8	 
1	45	5	3	3	7	9	1	0	30	40	30	100	2	2	3	1	1	2	3	2	4	-9	 	 	5	1	1	1	2	stále aktuální	1	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes	nevím	99	 	 	2	sys_empty	2	4	1	0	sys_filtered_off	-9	 	 	 	neètu tištìné zpravodajství	99	 	 
1	35	5	2	14	4	5	1	0	80	10	10	100	1	2	1	1	1	3	2	1	4	-9	 	 	5	1	2	2	2	nemám èas sledovat televizní zprávy, nechce se mi kupovat noviny a rádia moc neposlouchám, take vyuívám pøedevším internet	8	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes	pøehled zpráv	2	 	 	2	sys_empty	4	3	0	0	sys_filtered_off	-9	 	 	 	nechci kupovat noviny, nestíhám zprávy  neposlouchám moc rádio	99	 	 
2	50	1	1	4	3	4	1	0	40	50	10	100	2	2	3	4	2	2	3	2	4	-9	 	 	5	3	3	3	2	vyhovuje mi pøeèíst pouze to co mì zajímá	10	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes	dobøe se orientuji	2	 	 	2	sys_empty	2	0	0	0	sys_filtered_off	-9	 	 	 	nekupuji tištìné noviny	99	 	 
1	55	5	3	2	3	3	1	0	100	0	0	100	3	3	4	3	3	3	4	2	2	15	 	 	5	1	5	5	2	dostupnost	3	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes	èhmú	99	 	 	2	sys_empty	2	0	0	0	sys_filtered_off	-9	 	 	 	pouze net	99	 	 
1	55	5	3	14	5	6	1	0	55	45	0	100	2	1	3	2	3	3	4	2	3	99	 	 	5	1	1	5	2	-	99	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes	-	99	 	 	2	sys_empty	2	0	0	0	sys_filtered_off	-9	 	 	 	-	99	 	 
1	23	4	3	6	2	5	1	50	30	10	10	100	3	4	1	2	2	1	2	1	4	-9	 	 	2	3	2	2	1	-	99	 	 	dnes	nedokazu rict	99	 	 	idnes	prehledne	2	 	 	2	sys_empty	1	4	0	0	je to lepsi nez surfovat po internetu	7	 	 	 	.	99	 	 
1	39	5	2	11	3	2	1	0	33	33	34	100	1	1	3	2	1	4	4	1	4	-9	 	 	5	1	1	1	2	jednoduchost	3	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	idnes	zvyk	3	 	 	2	sys_empty	1	3	4	2	sys_filtered_off	-9	 	 	 	zvyk	80	 	 
1	36	5	2	6	4	4	1	15	15	50	20	100	4	1	1	4	4	1	4	1	4	-9	 	 	2	1	1	1	3	Zajímavosti	6	 	 	sluníèko	zábava	80	 	 	idnes	zajímavé	7	 	 	2	sys_empty	2	0	0	0	nuda	3	 	 	 	hrozná	80	 	 
1	40	1	3	3	6	6	1	0	50	25	25	100	2	2	4	2	2	3	4	1	4	-9	 	 	4	1	1	1	5	sys_filtered_off	-9	 	 	ádné	ádné	99	 	 	idnes	seriozní	5	 	 	2	sys_empty	1	0	0	0	neètu	5	 	 	 	vdy kdy mám chuc èíst	80	 	 
1	39	2	4	14	5	6	1	25	25	25	25	100	2	2	2	2	2	2	3	1	2	99	 	 	2	1	1	1	3	rád si sednu k TV	8	 	 	právo	mám je rád	4	 	 	idnes	jsem spokojenı	8	 	 	2	sys_empty	3	1	2	4	protoe více dùvìøuji tištìnému textu	10	 	 	 	najdu zde více informací	9	 	 
